Airline	April 04, 2023	April 13, 2023	April 27, 2023	May 11, 2023	June 24, 2023	July 08, 2023	August 05, 2023	September 01, 2023	September 02, 2023	September 16, 2023	October 03, 2023	October 14, 2023	October 17, 2023	October 21, 2023	October 28, 2023	November 04, 2023	November 11, 2023	November 18, 2023	November 25, 2023	December 02, 2023	December 09, 2023	December 16, 2023	December 23, 2023	December 30, 2023	January 06, 2024	January 13, 2024	January 20, 2024	January 27, 2024	February 03, 2024	February 10, 2024	February 17, 2024	February 24, 2024	March 02, 2024	March 09, 2024	March 17, 2024	March 23, 2024
Air New Zealand	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Air Noumea	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Air NZ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Air Oceania	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Air Party	0	0	0	0	0	12	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Air Plain	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Air Pooxle	44	54	69	86	127	127	138	0	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
Air SacTor	10	14	14	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Air Savoy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	8	8	10	13	14
Air Senegal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	12	12	12	12	12	0	0	0	0	0	0	0	0	0
Air Seychelles	0	0	0	0	3	8	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Air Sim	0	0	0	4	8	0	0	0	0	0	13	21	28	41	46	57	66	76	78	81	86	88	95	95	100	105	105	126	134	141	151	152	152	157	160	154
Air Stallion	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	12	12	12	0
Air Tahoma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Air Toro	0	0	0	0	0	0	0	0	33	78	124	163	165	168	181	183	188	193	204	206	221	224	233	230	233	251	279	286	294	312	332	339	342	349	350	351
Air Transpacific	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7
Air Tuvalu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Air West	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Airair	19	21	28	30	44	44	52	0	9	18	36	8	23	25	31	48	52	62	65	65	65	65	65	66	66	68	72	64	5	13	15	22	39	39	48	56
airAkhar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0
AirBaltic	0	0	0	0	0	0	0	0	23	35	62	69	69	69	72	73	73	73	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AirBecchi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AirForce	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AirGuernsey	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	4	4	4	4	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Airio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	14	25	39	51	79	94
airisrare	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AirKg	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Airline	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	10
airline go brrr hehe	3	13	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Airline Name	0	0	0	0	0	0	0	0	43	82	116	118	118	118	118	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AirLink	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AirlinkZA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
AirMex	0	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AirMilo	0	0	0	0	0	0	0	0	14	32	38	41	43	43	43	44	44	46	46	46	47	47	47	47	48	48	49	49	49	49	50	52	52	53	54	54
AirMisr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	14	19	31	19	28	40	39	44	53	61	68	72	68	20
Airplane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	10
airPolonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	14	21	27	29	29	29	29	29	29
AirS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AirStanley	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AIRTROPIKA	13	13	0	0	0	0	9	0	4	7	7	0	0	0	0	0	3	4	4	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Airwave Airlines	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5
AIX Connect	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ajwaa Airlines	288	316	377	436	622	657	657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akasa Air	0	0	0	0	0	0	0	0	19	41	53	72	80	81	95	94	93	97	104	112	116	122	127	140	7	14	19	21	21	5	15	15	15	15	0	0
AkasaAirlines	0	0	0	0	5	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alabama Fizz Airlines	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	14	19	19	19	19	19	31	35	37	41	41	42	45	45	45
Alan Travels	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	3	3	3	3	3
Alas del Sur	51	51	51	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	25	40	52
Alaska Airlines	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	14	20	24	30	34	43	0	0	0	8	31	48	56	56	56	56
Albatross Air	0	0	0	0	0	0	26	0	22	43	43	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alhamdulilah	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alitalia	0	0	0	0	4	8	19	0	6	10	22	35	42	48	53	77	93	109	135	167	182	212	227	235	245	245	245	245	245	0	0	0	0	0	0	0
Alitalia Cityliner	0	0	0	0	15	33	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AlixAir	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
All Nippon Airways	35	0	0	0	0	5	0	0	17	30	7	9	11	11	10	10	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Allegiant	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Allegiant Air	0	0	0	0	0	0	0	0	0	3	22	23	23	23	28	28	28	28	28	31	31	31	31	31	31	0	4	14	29	29	30	37	41	52	64	68
Alliance Airline	0	0	0	0	0	0	0	0	1	13	46	48	50	52	54	54	54	66	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Allitalia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
