Airline,Total,"Cessna 421","Britten-Norman BN-2 Islander","Pilatus PC-12","Beechcraft Super King Air 200","Beechcraft 1900D","Cessna Caravan","Dassault Falcon 50","Let L-410UVP-E20","Let L-410NG","Yakovlev Yak-40","Britten-Norman MKIII Trislander","Bombardier Global 5000","Short 330-200","Bombardier DHC-6-400","Short 360-200","Saab 340","Antonov An-140","Ilyushin Il-114-100","Cessna Citation X","Dornier 328-110","Embraer EMB120 Brasilia","Ilyushin Il-114-300","CASA CN-235","Antonov An148","Tupolev Tu-134","Bombardier Global 7500","Embraer ERJ135","Embraer ERJ140","ATR 42-600","Bombardier DHC-8-100","Fokker 70","Ilyushin Il-18","Yakovlev Yak-42","Tupolev Tu-154","Dornier 328JET","Saab 2000","Comac ARJ21","ATR 72-600","Fokker 70ER","Tupolev Tu-204","Embraer ERJ145XR","Boeing 717-200","Bombardier DHC-8-200","Fokker 50","Sukhoi Superjet 100","Embraer ERJ145","Boeing 737-100","Boeing 737-200","Bombardier DHC-8-300","Embraer ERJ170","Embraer EMB170-200","Fokker 100","Embraer ERJ175","Boeing 737-300","Boeing 727-200","Bombardier CRJ100","Embraer E175-E2","Gulfstream G650ER","Bombardier CRJ200","Boeing 737-500","Boeing 737-400","BAe 146-200","Bombardier DHC-8-400","Ilyushin Il-86","Bombardier Q400","Embraer EMB190","Bombardier CRJ900","Ilyushin Il-62","McDonnell Douglas MD-90","Lockheed L-1011-1","Airbus A300-600","Bombardier CRJ700","Ilyushin Il-96-300","Comac C919","McDonnell Douglas DC-8-50","Embraer E190-E2","Ilyushin 96-400","Irkut MC-21-300","McDonnell Douglas MD-81","Bombardier CRJ1000","Boeing 737-900","Boeing 737-800","Airbus A310-200","Boeing 757-300","McDonnell Douglas MD-11","McDonnell Douglas DC-10-30","Boeing 737-600","Embraer E195-E2","Boeing 767-300","Airbus A310-300","Boeing 737-900ER","Mitsubishi MRJ-100","Airbus A320","Boeing 737-700","Mitsubishi MRJ-90","Tupolev Tu-144D","Boeing 747-200","Boeing 737 MAX 8","Bombardier CS100","Airbus A321","Boeing 747-100","Boeing 737-700C","Airbus A319neo","Boeing 737-700ER","Airbus A320neo","Airbus A318","Boeing 757-200ER","Airbus A319","Boeing 737 MAX 7","Airbus A321neoXLR","Bombardier CS300","Lockheed L-1011-500","Boeing 737 MAX 9","Boeing 767-200ER","Airbus A340-600","Boeing 757-200","Boeing 767-400ER","Boeing 747-400ER","Boeing 747-300","Airbus A321neoLR","Boeing 787-8 Dreamliner","Airbus A330-200","Airbus A321neo","Boeing 737 MAX 10","Airbus A340-200","Boeing 767-200","Airbus A340-300","Boeing 777-300ER","Airbus A340-500","Boeing 747-400","Boeing 777-200ER","Boeing 777-300","Boeing 777-200LR","Boeing 787-9 Dreamliner","Airbus A330-300",Concorde,"Boeing 787-10 Dreamliner","Airbus A330-800neo","Airbus A350-900","Boeing 767-300ER","Airbus A350-900ULR","Boeing 747SP","Boeing 747-8i","Airbus A350-800","Boeing 777-200","Airbus A330-900neo","Boeing 777-8","Airbus A350-1000","Boeing 777-9","Airbus A380-800"
"Primrose Airlink",342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,52,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Air Chocobo",567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,309,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
Asores,166,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Starbux Airline",353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0
"Air Canada",453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0
"Toast Airlines",358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grape Adventures Airways",193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,4,0,0,0,0,0,0,24,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,33,13,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saputnik,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,33,0,0
"Airfare Prime",302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,12,0,0,0,0,34,0,0,0,0,0,0,0,150,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MayanAir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
